,,rtf,rtf,rtf,processing_time_sec,processing_time_sec,duration_sec
,,mean,std,median,mean,std,mean
model,language,,,,,,
Whisper-small,es,0.4966,0.1253,0.4912,1.9091,0.2908,4.0596
Whisper-small,fr,0.5278,0.2148,0.4958,2.0933,0.6457,4.3294
Whisper-small,hu,1.8223,1.2598,1.6386,7.0887,4.496,4.1738
Whisper-small,mn,36.9794,13.9529,35.3515,188.0075,44.8746,5.51
omniASR_CTC_1B,es,0.0235,0.0051,0.0237,0.0917,0.0166,4.0596
omniASR_CTC_1B,fr,0.0221,0.0055,0.0214,0.0909,0.0206,4.3294
omniASR_CTC_1B,hu,0.0231,0.006,0.0229,0.0908,0.0193,4.1738
omniASR_CTC_1B,mn,0.0195,0.0051,0.0189,0.1005,0.0137,5.51
omniASR_CTC_300M,es,0.0169,0.0038,0.0169,0.0662,0.0122,4.0596
omniASR_CTC_300M,fr,0.016,0.0042,0.0152,0.0658,0.015,4.3294
omniASR_CTC_300M,hu,0.0167,0.0046,0.0164,0.0655,0.0143,4.1738
omniASR_CTC_300M,mn,0.014,0.0044,0.0135,0.0721,0.0195,5.51
omniASR_LLM_1B,es,0.4891,0.1976,0.482,1.9709,0.816,4.0596
omniASR_LLM_1B,fr,0.4857,0.1491,0.4918,2.1397,0.9744,4.3294
omniASR_LLM_1B,hu,0.36,0.1313,0.3539,1.5686,0.8974,4.1738
omniASR_LLM_1B,mn,0.5061,0.2939,0.4826,2.7827,1.7196,5.51
