model,audio_file,elapsed_sec,success,cpu_mean,cpu_max,memory_mean_gb,memory_max_gb,memory_percent_mean,memory_percent_max,gpu_util_mean,gpu_util_max,gpu_mem_mean_mb,gpu_mem_max_mb
small,data/wav/mn/mn0450.mp3,0.1063361167907714,False,12.8,12.8,17.066829681396484,17.066829681396484,27.2,27.2,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/mn/mn0450.mp3,1.857706308364868,False,11.1,11.5,17.142013549804688,17.224628448486328,27.35,27.5,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/mn/mn0450.mp3,1.0602636337280271,False,24.8,24.8,17.118152618408203,17.118152618408203,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_LLM_1B,data/wav/mn/mn0450.mp3,1.0473978519439695,False,19.0,19.0,17.118255615234375,17.118255615234375,27.3,27.3,0.0,0.0,24.0,24.0
small,data/wav/mn/mn0577.mp3,0.1183066368103027,False,13.6,13.6,17.063114166259766,17.063114166259766,27.2,27.2,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/mn/mn0577.mp3,1.0278971195220947,False,19.9,19.9,17.134841918945312,17.134841918945312,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/mn/mn0577.mp3,1.0827534198760986,False,27.9,27.9,17.142169952392578,17.142169952392578,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_LLM_1B,data/wav/mn/mn0577.mp3,1.03454852104187,False,28.3,28.3,17.14409637451172,17.14409637451172,27.3,27.3,0.0,0.0,24.0,24.0
small,data/wav/mn/mn0202.mp3,0.1156096458435058,False,12.6,12.6,17.075885772705078,17.075885772705078,27.2,27.2,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/mn/mn0202.mp3,1.0216360092163086,False,26.9,26.9,17.14141082763672,17.14141082763672,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/mn/mn0202.mp3,1.0076870918273926,False,24.5,24.5,17.135147094726562,17.135147094726562,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_LLM_1B,data/wav/mn/mn0202.mp3,1.0796911716461182,False,24.8,24.8,17.138504028320312,17.138504028320312,27.3,27.3,0.0,0.0,24.0,24.0
small,data/wav/mn/mn0517.mp3,0.1038134098052978,False,12.8,12.8,17.065677642822266,17.065677642822266,27.2,27.2,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/mn/mn0517.mp3,1.0084607601165771,False,32.0,32.0,17.13094711303711,17.13094711303711,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/mn/mn0517.mp3,1.0731151103973389,False,21.1,21.1,17.140216827392578,17.140216827392578,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_LLM_1B,data/wav/mn/mn0517.mp3,1.076308250427246,False,24.4,24.4,17.138912200927734,17.138912200927734,27.3,27.3,0.0,0.0,24.0,24.0
small,data/wav/mn/mn0125.mp3,0.1300945281982422,False,10.0,10.0,17.07723617553711,17.07723617553711,27.2,27.2,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/mn/mn0125.mp3,1.0369656085968018,False,29.2,29.2,17.146114349365234,17.146114349365234,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/mn/mn0125.mp3,1.0424048900604248,False,33.3,33.3,17.14310073852539,17.14310073852539,27.3,27.3,0.0,0.0,24.0,24.0
